Date,HIGH,CLOSE,LOW,OPEN,VOLUME
2018-01-02,7691.34,7648.1,7624.14,7687.77,594074021.0
2018-01-03,7689.86,7671.11,7640.53,7648.1,589343126.0
2018-01-04,7702.51,7695.88,7671.11,7671.11,727694835.0
2018-01-05,7727.73,7724.22,7689.81,7695.88,655706946.0
2018-01-08,7733.39,7696.51,7691.77,7724.22,654443820.0
2018-01-09,7733.12,7731.02,7696.5,7696.51,728225896.0
2018-01-10,7756.11,7748.51,7716.21,7731.02,885659875.0
2018-01-11,7768.96,7762.94,7734.64,7748.51,1013187398.0
2018-01-12,7792.56,7778.64,7752.63,7762.94,1166597418.0
2018-01-15,7783.61,7769.14,7763.43,7778.64,568973873.0
2018-01-16,7791.83,7755.93,7740.55,7769.14,849622518.0
2018-01-17,7755.93,7725.43,7711.11,7755.93,847946596.0
2018-01-18,7739.54,7700.96,7683.71,7725.43,789204003.0
2018-01-19,7731.82,7730.79,7694.66,7700.96,820001768.0
2018-01-22,7739.35,7715.44,7703.67,7730.79,752607750.0
2018-01-23,7745.22,7731.83,7710.03,7715.44,765381654.0
2018-01-24,7731.98,7643.43,7643.43,7731.83,769845431.0
2018-01-25,7662.35,7615.84,7608.53,7643.43,735310889.0
2018-01-26,7667.4,7665.54,7615.84,7615.84,735668910.0
2018-01-29,7689.15,7671.53,7663.93,7665.54,631880411.0
2018-01-30,7671.67,7587.98,7587.12,7671.53,823710262.0
2018-01-31,7599.01,7533.55,7521.77,7587.98,907202401.0
2018-02-01,7554.73,7490.39,7476.51,7533.55,899493882.0
2018-02-02,7494.76,7443.43,7432.25,7490.39,898529905.0
2018-02-05,7443.43,7334.98,7334.79,7443.43,916489346.0
2018-02-06,7334.98,7141.4,7079.41,7334.98,1396485635.0
2018-02-07,7311.5,7279.42,7141.4,7141.4,1059175572.0
2018-02-08,7279.42,7170.69,7161.31,7279.42,1003488772.0
2018-02-09,7170.69,7092.43,7073.03,7170.69,955732747.0
2018-02-12,7199.93,7177.06,7092.43,7092.43,737669288.0
2018-02-13,7202.99,7168.01,7165.83,7177.06,740992716.0
2018-02-14,7243.15,7213.97,7145.73,7168.01,969400185.0
2018-02-15,7267.96,7234.81,7206.69,7213.97,770033386.0
2018-02-16,7307.97,7294.7,7234.81,7234.81,671913621.0
2018-02-19,7306.21,7247.66,7239.98,7294.7,520047037.0
2018-02-20,7264.78,7246.77,7202.14,7247.66,699561383.0
2018-02-21,7291.8,7281.57,7220.55,7246.77,930796629.0
2018-02-22,7281.57,7252.39,7187.76,7281.57,952976619.0
2018-02-23,7262.05,7244.41,7220.81,7252.39,695736396.0
2018-02-26,7312.98,7289.58,7244.31,7244.41,603889206.0
2018-02-27,7326.02,7282.45,7272.87,7289.58,740357739.0
2018-02-28,7293.36,7231.91,7231.91,7282.45,948407028.0
2018-03-01,7231.91,7175.64,7153.39,7231.91,886343209.0
2018-03-02,7175.64,7069.9,7063.42,7175.64,938592315.0
2018-03-05,7119.21,7115.98,7062.13,7069.9,956922728.0
2018-03-06,7197.8,7146.75,7115.6,7115.98,810452758.0
2018-03-07,7180.71,7157.84,7109.56,7146.75,889055316.0
2018-03-08,7212.14,7203.24,7145.7,7157.84,734714911.0
2018-03-09,7225.28,7224.51,7189.74,7203.24,671255234.0
2018-03-12,7254.87,7214.76,7198.18,7224.51,631268373.0
2018-03-13,7224.13,7138.78,7125.6,7214.76,790450622.0
2018-03-14,7176.51,7132.69,7122.76,7138.78,775436667.0
2018-03-15,7162.58,7139.76,7127.08,7132.69,833052303.0
2018-03-16,7187.27,7164.14,7131.31,7139.76,1423362340.0
2018-03-19,7164.19,7042.93,7034.91,7164.14,750734799.0
2018-03-20,7081.5,7061.27,7042.6,7042.93,764834536.0
2018-03-21,7065.66,7038.97,7016.79,7061.27,785548536.0
2018-03-22,7038.97,6952.59,6914.45,7038.97,887617115.0
2018-03-23,6952.82,6921.94,6876.96,6952.59,906202449.0
2018-03-26,6958.47,6888.69,6866.94,6921.94,788728638.0
2018-03-27,7042.37,7000.14,6888.69,6888.69,712082418.0
2018-03-28,7044.74,7044.74,6923.33,7000.14,785934492.0
2018-03-29,7109.93,7056.61,7042.73,7044.74,900253469.0
2018-04-03,7064.98,7030.46,6996.76,7056.61,814724089.0
2018-04-04,7046.26,7034.01,6971.75,7030.46,818646763.0
2018-04-05,7199.5,7199.5,7034.01,7034.01,819216951.0
2018-04-06,7214.02,7183.64,7163.11,7199.5,676285848.0
2018-04-09,7209.68,7194.75,7145.57,7183.64,691577094.0
2018-04-10,7266.75,7266.75,7194.75,7194.75,778174101.0
2018-04-11,7270.28,7257.14,7243.32,7266.75,789648702.0
2018-04-12,7266.64,7258.34,7240.76,7257.14,687145374.0
2018-04-13,7274.99,7264.56,7249.07,7258.34,677122380.0
2018-04-16,7265.83,7198.2,7195.46,7264.56,889304643.0
2018-04-17,7240.41,7226.05,7189.85,7198.2,735878723.0
2018-04-18,7325.59,7317.34,7226.05,7226.05,904180113.0
2018-04-19,7340.73,7328.92,7309.42,7317.34,811855739.0
2018-04-20,7368.17,7368.17,7323.31,7328.92,792272168.0
2018-04-23,7404.11,7398.87,7359.73,7368.17,799460885.0
2018-04-24,7439.58,7425.4,7397.29,7398.87,862029530.0
2018-04-25,7427.13,7379.32,7334.64,7425.4,906769441.0
2018-04-26,7421.43,7421.43,7355.0,7379.32,839861446.0
2018-04-27,7507.12,7502.21,7421.28,7421.43,773111400.0
2018-04-30,7546.16,7509.3,7497.11,7502.21,1021590579.0
2018-05-01,7549.07,7520.36,7506.57,7509.3,584612405.0
2018-05-02,7572.98,7543.2,7519.62,7520.36,855113916.0
2018-05-03,7555.18,7502.69,7492.39,7543.2,745257393.0
2018-05-04,7570.22,7567.14,7502.69,7502.69,886343875.0
2018-05-08,7598.51,7565.75,7550.44,7567.14,896880840.0
2018-05-09,7662.52,7662.52,7565.75,7565.75,918676370.0
2018-05-10,7706.87,7700.97,7631.58,7662.52,901481607.0
2018-05-11,7728.89,7724.55,7691.69,7700.97,754160593.0
